date,event,actual,consensus,prior,currency
2024-01-11,CPI YoY,3.4,3.2,3.1,USD
2024-01-26,PCE Price Index YoY,2.6,2.6,2.6,USD
2024-01-31,FOMC Rate Decision,5.50,5.50,5.50,USD
2024-02-02,NFP,353,185,333,USD
2024-02-13,CPI YoY,3.1,2.9,3.4,USD
2024-03-08,NFP,275,200,229,USD
2024-03-12,CPI YoY,3.2,3.1,3.1,USD
2024-03-20,FOMC Rate Decision,5.50,5.50,5.50,USD
2024-04-05,NFP,303,214,270,USD
2024-04-10,CPI YoY,3.5,3.4,3.2,USD
2024-05-01,FOMC Rate Decision,5.50,5.50,5.50,USD
2024-05-03,NFP,175,243,315,USD
2024-05-15,CPI YoY,3.4,3.4,3.5,USD
2024-06-07,NFP,272,185,165,USD
2024-06-12,CPI YoY,3.3,3.4,3.4,USD
2024-06-12,FOMC Rate Decision,5.50,5.50,5.50,USD
2024-07-05,NFP,206,190,218,USD
2024-07-11,CPI YoY,3.0,3.1,3.3,USD
2024-07-31,FOMC Rate Decision,5.50,5.50,5.50,USD
2024-08-02,NFP,114,175,179,USD
2024-08-14,CPI YoY,2.9,3.0,3.0,USD
2024-09-06,NFP,142,161,89,USD
2024-09-11,CPI YoY,2.5,2.5,2.9,USD
2024-09-18,FOMC Rate Decision,5.00,5.00,5.50,USD
2024-10-04,NFP,254,140,159,USD
2024-10-10,CPI YoY,2.4,2.3,2.5,USD
2024-11-01,NFP,12,113,223,USD
2024-11-07,FOMC Rate Decision,4.75,4.75,5.00,USD
2024-11-13,CPI YoY,2.6,2.6,2.4,USD
2024-12-06,NFP,227,220,36,USD
2024-12-11,CPI YoY,2.7,2.7,2.6,USD
2024-12-18,FOMC Rate Decision,4.50,4.50,4.75,USD
2025-01-10,NFP,256,164,212,USD
2025-01-15,CPI YoY,2.9,2.9,2.7,USD
2025-01-29,FOMC Rate Decision,4.50,4.50,4.50,USD
2025-02-07,NFP,143,170,307,USD
2025-02-12,CPI YoY,3.0,2.9,2.9,USD
2025-03-07,NFP,151,160,125,USD
2025-03-12,CPI YoY,2.8,2.9,3.0,USD
2025-03-19,FOMC Rate Decision,4.50,4.50,4.50,USD
2025-04-04,NFP,228,135,117,USD
2025-04-10,CPI YoY,2.4,2.5,2.8,USD
2025-05-02,NFP,177,138,185,USD
2025-05-07,FOMC Rate Decision,4.50,4.50,4.50,USD
2025-05-13,CPI YoY,2.3,2.4,2.4,USD
2025-06-06,NFP,272,133,153,USD
2025-06-11,CPI YoY,2.2,2.3,2.3,USD
2025-06-18,FOMC Rate Decision,4.50,4.50,4.50,USD
2025-07-03,NFP,189,160,258,USD
2025-07-15,CPI YoY,2.1,2.2,2.2,USD
2025-07-30,FOMC Rate Decision,4.25,4.25,4.50,USD
2025-08-01,NFP,215,175,195,USD
2025-08-12,CPI YoY,2.0,2.1,2.1,USD
